cencus-location,eviction-location,number_filing_2020,number_filing_2021,number_filing_2022,number_filing_after_moratorium,number_RENTER_households_LATEST_from_eviction_website,filing_rate_after_mora,number_renter_household,filing_rate_2020,unemployment-rate,pop_over60,Total households,Average household size,Households with own children of the householder under 18 years,Households with one or more people under 18 years,Households with one or more people 60 years and over,Householder living alone,65 years and over,Owner-occupied housing units,Renter-occupied housing units,Total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
"Cincinnati city, Ohio","Cincinnati, OH",7888,9915,9714,12029,143889,0.08359916324,84743.256,0.09308115327,0.073,0.1807775028,138696,2.09,29511,0.236,0.297,0.446,0.108,0.389,0.611,302687,152334,125210,205,6614,157,4309,13858,2915,10943
"Cleveland city, Ohio","Cleveland, OH",4395,4310,1195,2801,99850,0.02805207812,101628.52,0.04324573456,0.124,0.2096099715,174920,2.12,37278,0.252,0.363,0.45,0.137,0.419,0.581,383331,152216,182546,1721,9495,243,14806,22304,5675,16629
"Columbus city, Ohio","Columbus, OH",12120,15435,15827,19185,238402,0.08047331818,199806.926,0.06065855795,0.054,0.1547140355,362626,2.39,90390,0.278,0.275,0.36,0.086,0.449,0.551,889079,510325,259403,2198,52684,385,20264,43820,7437,36383
"Philadelphia city, Pennsylvania","Philadelphia, PA",7690,6800,10770,12013,282465,0.04252916291,289395,0.02657267748,0.088,0.1952557364,613125,2.5,138508,0.27,0.365,0.372,0.121,0.528,0.472,1581531,622027,654092,5255,117274,588,114988,67307,20854,46453
"Pittsburgh city, Pennsylvania","Pittsburgh, PA",5178,5788,8458,9543,193411,0.04934052355,74884.368,0.06914660747,0.054,0.2091169188,140496,1.98,21753,0.175,0.334,0.442,0.132,0.467,0.533,301286,199950,69232,581,17570,170,2868,10915,1772,9143
"Charleston city, South Carolina","Charleston, SC",6950,5635,7226,8409,61209,0.1373817576,25522.796,0.2723055891,0.034,0.2131187017,57226,2.29,11158,0.208,0.348,0.358,0.111,0.554,0.446,137041,101247,28468,82,2855,241,1419,2729,470,2259
"Memphis city, Tennessee","Memphis, TN",16217,16058,18022,22997,157847,0.1456917141,137596.728,0.1178589072,0.086,0.1946613203,255756,2.49,61419,0.287,0.358,0.379,0.115,0.462,0.538,650910,181406,419253,1329,11476,172,22895,14379,5456,8923
"Austin city, Texas","Austin, TX",3396,1750,7356,7341,225010,0.03262521666,215427.6,0.01576399681,0.044,0.1398228751,395280,2.39,95570,0.264,0.242,0.339,0.064,0.455,0.545,965872,670243,75208,6978,74503,642,75561,62737,28621,34116
"Dallas city, Texas","Dallas, TX",21198,23478,33221,39373,464121,0.08483348092,307880.326,0.06885142768,0.049,0.1556863149,524498,2.52,137523,0.299,0.284,0.355,0.08,0.413,0.587,1338846,773172,325324,4459,48320,533,101705,85333,56767,28566
"Fort Worth city, Texas","Fort Worth, TX",19505,21672,31935,36707,381009,0.09634155624,132116.64,0.1476346961,0.057,0.1453014444,307248,2.85,104415,0.382,0.29,0.263,0.074,0.57,0.43,892221,535854,165406,4562,43134,658,88464,54143,26566,27577
"Houston city, Texas","Houston, TX",34630,38193,63277,72588,768357,0.09447171042,499526.217,0.06932569067,0.062,0.1589261459,874827,2.61,248361,0.321,0.302,0.327,0.085,0.429,0.571,2313238,1192226,528145,8012,158853,1088,262512,162402,111421,50981
"Richmond city, Virginia","Richmond, VA",8458,4538,8902,8723,82080,0.1062743665,51235.815,0.1650798372,0.063,0.1931571807,91005,2.4,15382,0.198,0.344,0.431,0.128,0.437,0.563,229233,103624,105692,369,4765,28,5263,9492,1484,8008
"Milwaukee city, Wisconsin","Milwaukee, WI",8990,8086,10556,12795,193121,0.06625379943,135931.611,0.06613619844,0.063,0.155819043,229227,2.51,62084,0.304,0.298,0.374,0.1,0.407,0.593,592649,249190,229893,3165,27253,228,49551,33369,12590,20779
