filing_rate_2020,unemployment-rate,pop_over60,Total households,Average household size,Households with own children of the householder under 18 years,Households with one or more people under 18 years,Households with one or more people 60 years and over,Householder living alone,65 years and over,Owner-occupied housing units,Renter-occupied housing units,pct_White alone,pct_Black or African American alone,pct_American Indian and Alaska Native alone,pct_Asian alone,pct_Native Hawaiian and Other Pacific Islander alone,pct_Some other race alone,pct_Two or more races:
0.04324573456,0.124,0.2096099715,174920,2.12,37278,0.252,0.363,0.45,0.137,0.419,0.581,0.3970876344,0.4762098552,0.004489592545,0.02476971599,0.0006339169021,0.03862458293,0.05818470199
0.06065855795,0.054,0.1547140355,362626,2.39,90390,0.278,0.275,0.36,0.086,0.449,0.551,0.5739928623,0.2917659736,0.002472221254,0.05925682645,0.0004330323852,0.02279212533,0.04928695875
0.02657267748,0.088,0.1952557364,613125,2.5,138508,0.27,0.365,0.372,0.121,0.528,0.472,0.3933068653,0.4135815232,0.003322729684,0.07415219809,0.0003717916373,0.07270676326,0.0425581288
0.06914660747,0.054,0.2091169188,140496,1.98,21753,0.175,0.334,0.442,0.132,0.467,0.533,0.6636551317,0.2297883075,0.001928400258,0.05831668249,0.0005642479239,0.009519194387,0.03622803582
0.2723055891,0.034,0.2131187017,57226,2.29,11158,0.208,0.348,0.358,0.111,0.554,0.446,0.7388080939,0.207733452,0.0005983610744,0.02083318131,0.001758597792,0.01035456542,0.01991374844
0.1178589072,0.086,0.1946613203,255756,2.49,61419,0.287,0.358,0.379,0.115,0.462,0.538,0.2786959795,0.6441028714,0.002041756925,0.01763070163,0.000264245441,0.03517383356,0.02209061161
0.01576399681,0.044,0.1398228751,395280,2.39,95570,0.264,0.242,0.339,0.064,0.455,0.545,0.693925282,0.07786539003,0.007224559776,0.07713547965,0.0006646843474,0.07823086289,0.06495374128
0.06885142768,0.049,0.1556863149,524498,2.52,137523,0.299,0.284,0.355,0.08,0.413,0.587,0.577491362,0.2429883646,0.00333048013,0.03609078266,0.0003981040389,0.07596467406,0.06373623255
0.1476346961,0.057,0.1453014444,307248,2.85,104415,0.382,0.29,0.263,0.074,0.57,0.43,0.6005843844,0.1853868044,0.005113082969,0.04834452451,0.0007374854436,0.09915032262,0.06068339571
0.06932569067,0.062,0.1589261459,874827,2.61,248361,0.321,0.302,0.327,0.085,0.429,0.571,0.5153927093,0.228314164,0.00346354331,0.06867127377,0.0004703363856,0.1134824865,0.07020548685
0.1650798372,0.063,0.1931571807,91005,2.4,15382,0.198,0.344,0.431,0.128,0.437,0.563,0.4520466076,0.4610679963,0.001609715879,0.02078671046,0.0001221464623,0.02295917254,0.04140765073
0.06613619844,0.063,0.155819043,229227,2.51,62084,0.304,0.298,0.374,0.1,0.407,0.593,0.4204681017,0.3879075136,0.005340429158,0.0459850603,0.0003847133801,0.08360935393,0.05630482798
